Date,"Net
Sales",Actual,Overtime,Actual,"Actual
Labor"
01/1/24,"$1,736.40",9.85h,0.00h,$172.98,9.96%
01/2/24,"$2,442.30",35.66h,0.00h,$629.40,25.77%
01/3/24,"$3,211.92",49.01h,0.00h,$856.01,26.65%
01/4/24,"$2,934.54",36.10h,0.00h,$633.62,21.59%
01/5/24,"$4,039.50",39.19h,0.00h,$672.69,16.65%
01/6/24,"$2,503.38",40.45h,0.00h,$710.45,28.38%
01/7/24,"$2,728.66",36.60h,0.00h,$646.63,23.70%
01/8/24,"$2,042.07",29.70h,0.00h,$509.70,24.96%
01/9/24,"$2,932.09",37.48h,0.00h,$660.08,22.51%
01/10/24,"$4,209.18",46.61h,0.00h,$806.57,19.16%
01/11/24,"$2,796.18",37.63h,0.00h,$658.10,23.54%
01/12/24,"$3,390.10",37.16h,0.00h,$634.78,18.72%
01/13/24,"$3,331.71",45.68h,0.00h,$798.02,23.95%
01/14/24,"$1,899.99",30.60h,0.00h,$538.59,28.35%
01/15/24,"$2,791.12",35.11h,2.18h,$622.13,22.29%
01/16/24,"$2,748.36",37.55h,0.00h,$660.66,24.04%
01/17/24,"$3,901.32",44.39h,0.00h,$771.29,19.77%
01/18/24,"$3,457.41",42.76h,0.00h,$762.89,22.07%
01/19/24,"$4,572.53",47.48h,0.00h,$827.25,18.09%
01/20/24,"$3,297.55",45.20h,0.00h,$791.12,23.99%
01/21/24,"$2,909.00",37.76h,0.00h,$667.16,22.93%
01/22/24,"$1,858.06",27.48h,0.00h,$469.12,25.25%
01/23/24,"$2,889.08",36.95h,0.00h,$651.45,22.55%
01/24/24,"$4,039.77",41.98h,0.00h,$725.96,17.97%
01/25/24,"$2,887.73",34.35h,0.00h,$602.86,20.88%
01/26/24,"$3,571.38",42.81h,0.00h,$735.22,20.59%
01/27/24,"$3,135.14",42.93h,0.00h,$751.17,23.96%
01/28/24,"$2,987.83",38.51h,0.00h,$678.82,22.72%
01/29/24,"$2,660.04",31.98h,0.00h,$547.16,20.57%
01/30/24,"$3,098.52",40.36h,0.00h,$709.91,22.91%
01/31/24,"$5,608.14",54.41h,0.00h,$932.18,16.62%
02/1/24,"$3,717.37",35.59h,0.00h,$618.21,16.63%
02/2/24,"$4,369.07",44.06h,0.00h,$756.20,17.31%
02/3/24,"$3,060.18",40.95h,0.00h,$719.17,23.50%
02/4/24,"$3,106.61",36.63h,0.00h,$647.52,20.84%
02/5/24,"$2,865.21",32.83h,0.28h,$566.25,19.76%
02/6/24,"$3,086.34",37.91h,0.00h,$668.33,21.65%
02/7/24,"$3,906.76",42.86h,0.00h,$742.98,19.02%
02/8/24,"$3,701.08",34.19h,0.00h,$592.61,16.01%
02/9/24,"$5,057.48",42.68h,0.00h,$728.91,14.41%
02/10/24,"$2,769.96",36.90h,0.00h,$652.15,23.54%
02/11/24,"$3,000.30",36.58h,0.00h,$647.13,21.57%
02/12/24,"$2,915.60",32.33h,0.00h,$555.72,19.06%
02/13/24,"$2,688.68",37.36h,0.00h,$658.84,24.50%
02/14/24,"$4,165.05",43.28h,0.00h,$748.57,17.97%
02/15/24,"$2,845.78",35.61h,0.00h,$615.62,21.63%
02/16/24,"$3,701.90",38.86h,0.00h,$664.48,17.95%
02/17/24,"$2,911.33",40.66h,0.00h,$714.76,24.55%
02/18/24,"$2,677.22",35.95h,0.00h,$636.67,23.78%
02/19/24,"$1,739.97",22.86h,0.00h,$398.78,22.92%
02/20/24,"$2,783.48",37.53h,0.00h,$656.66,23.59%
02/21/24,"$3,694.15",45.79h,0.00h,$792.48,21.45%
02/22/24,"$2,618.10",33.38h,0.00h,$578.39,22.09%
02/23/24,"$3,472.51",35.06h,0.00h,$599.85,17.27%
02/24/24,"$2,884.08",40.33h,0.00h,$709.22,24.59%
02/25/24,"$2,747.98",37.21h,0.00h,$657.86,23.94%
02/26/24,"$2,033.75",30.01h,0.00h,$520.89,25.61%
02/27/24,"$2,599.23",35.41h,0.00h,$622.25,23.94%
02/28/24,"$3,501.45",40.61h,0.00h,$698.18,19.94%
02/29/24,"$3,648.05",36.80h,0.00h,$640.35,17.55%
03/1/24,"$3,935.18",43.49h,0.00h,$758.33,19.27%
03/2/24,"$3,554.09",43.18h,0.00h,$750.55,21.12%
03/3/24,"$2,756.75",37.19h,0.00h,$651.63,23.64%
03/4/24,"$2,318.43",39.85h,0.00h,$690.84,29.80%
03/5/24,"$3,262.17",42.30h,0.00h,$740.63,22.70%
03/6/24,"$4,518.96",46.11h,0.00h,$795.61,17.61%
03/7/24,"$3,540.20",37.86h,0.00h,$653.83,18.47%
03/8/24,"$4,352.49",43.33h,0.00h,$748.37,17.19%
03/9/24,"$3,972.77",44.73h,0.00h,$782.81,19.70%
03/10/24,"$3,252.21",36.31h,0.00h,$642.77,19.76%
03/11/24,"$2,556.31",33.15h,0.00h,$568.70,22.25%
03/12/24,"$3,767.93",37.69h,0.00h,$664.75,17.64%
03/13/24,"$4,954.64",45.58h,0.00h,$787.60,15.90%
03/14/24,"$3,873.71",38.63h,0.00h,$665.42,17.18%
03/15/24,"$4,470.96",49.11h,0.00h,$848.86,18.99%
03/16/24,"$3,611.89",46.31h,0.00h,$790.26,21.88%
